TIME,heavy_pages_ap-southeast-1,heavy_pages_eu-west-1,heavy_pages_us-east-1,heavy_vercel_ap-southeast-1,heavy_vercel_eu-west-1,heavy_vercel_us-east-1,simple_pages_ap-southeast-1,simple_pages_eu-west-1,simple_pages_us-east-1,simple_vercel_ap-southeast-1,simple_vercel_eu-west-1,simple_vercel_us-east-1
15-06-2023 00:00,2112.044428875992,1388.0071529026511,1925.5573014693505,1842.6711423630013,1977.217000554204,1875.5441610491785,1299.7018034187192,1371.4847534114213,1730.2983791830934,1368.512686156226,2044.590745648484,1916.2601252671816
15-06-2023 06:00,1978.016292129747,1534.3542292517025,1575.1844221436825,1714.5496838610616,2138.8460320677905,1908.97740141176,1852.6111517145705,1263.981381141927,1737.6076160264363,1538.1913102174126,1921.1661509814448,2119.0167760931745
15-06-2023 12:00,1810.293724073627,1810.547887372912,1270.29470563301,1420.5179451146082,1638.3086964892684,1296.8125556605708,1290.6210945314072,2084.8107988949323,2148.429128252521,1916.2619734932791,1782.599965802438,1896.2446423005529
15-06-2023 18:00,2091.795226306655,1952.929544797762,1334.7273955512287,1878.444602904372,1639.550399705642,1970.9048682709383,1346.8553576086558,2040.6104684160716,1887.637248104044,1430.6371608728325,1773.1640233294877,1742.659087611321
16-06-2023 00:00,2002.9070296535924,1393.1514182194153,1348.3822654476544,1819.8678289370991,1533.048414848938,1859.7345417091508,1418.784460291078,1955.5737326586943,1882.2085837525497,2049.994429023162,1585.9185039764402,1988.220092738372
16-06-2023 06:00,2053.1897941040124,1828.5822239363756,2024.502841731377,1641.9932726462823,2087.755673985408,1291.6574958529347,1891.6201107784757,1730.5702972115116,1859.4816084718811,1590.02553034317,1656.9211448426029,1540.2426004665276
16-06-2023 12:00,1538.086331912892,2101.496013625313,1866.0985105068607,1529.313901321566,1353.9994693505485,1981.2190667520235,1533.3706166319612,2061.580088646696,1356.6934831683764,2046.9957666301968,1958.5884236096665,1398.6188624098645
16-06-2023 18:00,1536.284379077974,1835.567706299081,1259.894286582387,1761.715455602233,2027.256462514434,2012.097177706502,2078.6013224576127,1677.443524403799,1769.1702966872017,1964.932819822482,1406.439365847972,1296.704802146704
17-06-2023 00:00,1759.4837693069533,1846.5450993341935,1437.078398772376,1817.6014423917024,1316.156970177424,1491.2026531657727,2074.193762393965,1729.4367192300392,1493.941166611782,2026.271132691668,2023.0191047719889,2111.336921166879
17-06-2023 06:00,1554.661744843179,1864.200183071396,1303.8884384803073,1957.0890009215448,1886.642069652155,1313.5250157695489,1353.2083289418472,1427.925351284095,1589.2275402833689,1350.9806863176616,1492.4236120876185,1792.9272385229774
17-06-2023 12:00,1553.2084061162043,2014.049058687856,1585.556106573463,2059.291063561701,2090.896698073884,2083.627356248704,1521.651071871108,2028.541217958076,1709.1951142910202,1760.9562719781718,2002.7650608460772,1605.4762314017044
