TIME,heavy_pages_ap-southeast-1,heavy_pages_eu-west-1,heavy_pages_us-east-1,heavy_vercel_ap-southeast-1,heavy_vercel_eu-west-1,heavy_vercel_us-east-1,simple_pages_ap-southeast-1,simple_pages_eu-west-1,simple_pages_us-east-1,simple_vercel_ap-southeast-1,simple_vercel_eu-west-1,simple_vercel_us-east-1
15-06-2023 00:00,2031.7919879176025,1652.3784838550584,1788.1457067689698,2051.3375104097213,1381.32149481003,1390.3934286355711,2074.843901397002,2144.1643525954446,1286.2287199564712,1342.8526972930529,1380.6470519809286,1633.0342235184153
15-06-2023 06:00,1443.4642007914,2162.805608068068,1360.864307931244,1931.5405551658653,1335.9278139099724,1629.0953752571083,2007.8661876186784,1860.8187628029957,2064.9039123760945,1877.7475827357173,1807.847176899356,1351.9002690974005
15-06-2023 12:00,1349.7589538796335,2070.383398758002,1767.2904861109057,1751.2481398618415,2026.454046995222,1539.440774033284,1807.698016772367,1656.552883070265,1651.2137002649367,2107.776169707957,1384.7481911883651,2163.4027281961926
15-06-2023 18:00,2112.072485956164,1718.017644036359,1265.0071303463642,1267.925809314307,1504.43160381166,2156.777918307502,1837.727672326628,1659.5282925719569,1442.9145421819492,1888.7004954549216,1491.53890621021,1443.910636247496
16-06-2023 00:00,1593.5125007505353,1484.514494389868,1973.0406677785445,1411.55734547374,2056.2559527112207,1877.217445778815,2153.2596124091697,1524.3599424636295,1412.2044250842869,1860.138671171051,1876.3222231400607,1442.3843293814357
16-06-2023 06:00,1298.2126019107895,1722.6455922135,1842.0668415306095,2126.0751029855787,1664.3029345935906,1438.597766345177,1531.1558711566852,1770.7348836795063,1496.9797797455556,1987.2435525492288,1404.6289466427868,1984.049914618115
16-06-2023 12:00,1510.0098583358504,1842.3942897477368,1454.2933887340423,1444.006986188214,2164.278861840772,1759.9496104234904,1875.3989110533405,2069.006949336571,1467.5402111003286,2062.1562354377143,2035.867286961984,1806.883537658244
16-06-2023 18:00,2027.5291878096532,2146.2416733669493,1797.920666351789,1798.3120439715935,2150.750923856257,2172.900117823125,1555.153243567229,1717.9343901857396,1526.6237256649956,1478.369339503422,2028.807139514364,1550.354834532593
17-06-2023 00:00,2093.402212562927,1283.3695580024869,1903.8547850455436,1551.9237445716324,1719.266551027495,1961.2978845680807,2068.4182402255847,1274.244470732022,1943.5434626241567,1491.1169016822928,1961.5121456806685,1903.313110159896
17-06-2023 06:00,1775.153969024719,1879.6786659878403,1628.7312660427197,1828.7200468020053,2094.464233912978,1370.1658985475476,2178.01578326312,2090.849598793556,1563.637483638694,1985.7712109808367,1420.4428078375245,1427.802827821771
17-06-2023 12:00,1794.960069277808,1568.156902582642,1354.876569323315,1473.947678406074,1587.7667839861233,1845.3865669309157,1426.6067117399043,1646.520987645355,1400.4641037912158,1777.685156170969,1490.1665007602828,1982.6235995853212
17-06-2023 18:00,1922.0760820299756,1512.7613843832578,1945.7824787576487,1949.0074806503276,2148.881278561545,1349.7887507796222,1519.8407519791097,1501.3407081347025,1289.535805779999,1697.6013226450666,1262.1916938186691,1512.4265039260922
18-06-2023 00:00,1900.0560429603363,1604.2093788194768,1824.540654636663,1681.5237907227258,1772.3603707355078,1263.716282810822,1456.6418061170366,2122.3829167660256,2163.3962169385613,1377.5285984470574,1383.429451403552,1946.637340217471
18-06-2023 06:00,2039.356800664861,1450.7947874789752,2036.8841152636544,2024.932237548008,1606.0385625434342,2090.9408716284065,1734.2516842312516,1713.0154786377898,1480.9215633481967,1898.8591733602996,1823.8765375783964,1698.1694827241538
18-06-2023 12:00,1983.0714178507585,1410.0395612762543,1864.1153095874092,1530.6622703712278,1658.912192875462,1862.6311998682816,1941.126764967762,2167.3485250566328,1605.4260103037968,2084.242102416022,2091.0379419703318,1405.4686851305553
18-06-2023 18:00,1823.315100170208,1984.412022613159,2093.595922643104,1693.069702804657,1502.6838960307236,1634.1611588638327,1325.041984017243,1765.4256073618003,2022.7209738824145,2153.1847801497947,1635.498290497569,1849.9839691984712
19-06-2023 00:00,2050.179961799539,2090.679838921664,2031.334984715842,1998.7577804908003,1624.8980281156714,2144.418458294014,2013.8986368038452,1300.0205863914823,1371.110798659454,1889.914355885111,2085.73058428717,1670.4705572205405
19-06-2023 06:00,1985.7257289745085,1509.3545426207197,1920.3679287447449,1947.151254927041,2056.796112306537,1654.1229440174989,2124.112411744201,2124.932792041947,1486.7778562511803,2039.30876989256,1885.810128664585,1748.243391906969
19-06-2023 12:00,1948.5840633504451,1915.85822038628,1892.445161087836,1788.861029464545,1519.0112139857174,1993.8692774028443,1803.562003860162,2160.7380139850184,1287.5105247955614,1680.959690164833,1638.317110888284,1430.692924589795
19-06-2023 18:00,1726.03445502472,1298.1150526484073,1365.2897001050842,1524.4094925102156,1433.2847166261438,1404.9203475675936,1653.4008560371412,1640.6664872877232,1783.349675994852,1277.8196679508949,1853.1073438418528,1851.9692254981687
20-06-2023 00:00,1933.62104822148,1773.5555960705808,1785.6481772635634,1846.3320349820483,1935.6201600509096,1849.7319435236373,2127.0468335236246,1353.7018473428266,1833.276827509314,2082.095074217324,1705.9776132831407,1779.4493370077255
20-06-2023 06:00,1588.6244337218138,1596.7579955761564,1489.0693956091754,1668.2367937533074,1874.534819852896,1750.0560802040484,1696.2635410327737,1874.843915745554,1706.1096961710837,1782.7745858492876,1747.2392363827512,1939.7399764781956
20-06-2023 12:00,1268.9908510332475,2092.422950557267,1340.647946040624,1600.3549160301486,1738.23545198362,1856.430079553233,1925.3236870837611,1882.4616839336195,1553.9498233544518,1299.1276555982722,1845.0922974440623,1423.8045360535432
20-06-2023 18:00,1702.3779065398735,1982.253090942829,1403.89,1396.1989671433616,2149.07762326586,1591.277,1630.5971662109546,2062.8989463400058,1400.512,2148.9510844898714,1584.6517796080093,1399.706
21-06-2023 00:00,1629.1560078322411,1464.8154868771012,1875.984812015984,1893.757525581801,1666.2996859655516,1389.5102093974483,1271.4838083058528,1651.954907997296,1365.9453350708682,1387.4150273455343,2106.880124622437,1492.692456904026
21-06-2023 06:00,1627.052,1894.236,1438.322,1978.03,1814.079,2184.556,2094.43,1484.237,1469.117,1788.609,1449.98,1507.3339999999998
21-06-2023 12:00,1840.578,1324.2759999999998,1412.663,1713.096,1452.3,1447.538,2150.809,1313.179,1303.336,1261.874,1272.682,1292.2179999999998
21-06-2023 18:00,1480.979,1367.299,1434.051,1426.249,1452.277,1444.2820000000002,1558.621,1310.347,1426.286,1253.7820000000002,1285.97,1293.577
22-06-2023 06:00,1330.961,1326.943,1313.616,1426.243,2027.373,1835.872,1276.499,1302.678,1296.743,1261.52,1276.463,1280.067
22-06-2023 12:00,1594.564,1344.347,1425.282,1432.353,2036.78,1452.911,1277.149,1317.155,1387.719,1259.435,1289.875,1277.257
22-06-2023 18:00,1310.285,1339.927,1304.711,1796.764,1473.941,1281.434,1288.143,1320.565,1322.179,1753.342,1491.315,1263.693
